2020-02-10_01-55-11-141, -0.015088677, 4.9819536,8.331309
2020-02-10_01-55-11-163, -0.04861632, 4.8914967,7.899604
2020-02-10_01-55-11-177, 0.20052397, 5.2437825,8.4783745
2020-02-10_01-55-11-199, 0.25323397, 5.2104535,8.653903
2020-02-10_01-55-11-219, 0.066394955, 5.0438256,8.350286
2020-02-10_01-55-11-238, -0.14918993, 5.024779,8.241174
2020-02-10_01-55-11-259, -0.10127087, 5.0533385,8.402471
2020-02-10_01-55-11-279, 0.09037763, 5.158069,8.411959
2020-02-10_01-55-11-299, 0.1814155, 5.18663,8.402471
2020-02-10_01-55-11-320, 0.061650217, 5.0676084,8.245917
2020-02-10_01-55-11-340, -0.06769705, 5.010476,8.293358
2020-02-10_01-55-11-359, -0.19225325, 4.9723864,8.502094
2020-02-10_01-55-11-380, -0.23536283, 4.9866643,8.445167
2020-02-10_01-55-11-401, -0.19223477, 4.9914207,8.3929825
2020-02-10_01-55-11-421, -0.14431573, 5.0818696,8.421447
2020-02-10_01-55-11-441, -0.1682613, 5.119951,8.421447
2020-02-10_01-55-11-461, -0.15387917, 5.1865964,8.279126
2020-02-10_01-55-11-480, -0.24010763, 5.143746,8.293359
2020-02-10_01-55-11-501, -0.22572535, 5.0866137,8.568512
2020-02-10_01-55-11-521, -0.33111775, 5.0675664,8.601721
2020-02-10_01-55-11-541, -0.35582644, 5.0917087,8.559018
2020-02-10_01-55-11-561, -0.41332412, 5.001259,8.658643
2020-02-10_01-55-11-582, -0.4899857, 4.910808,8.625435
2020-02-10_01-55-11-603, -0.43249986, 4.939375,8.611202
2020-02-10_01-55-11-623, -0.26961237, 5.0060277,8.577994
2020-02-10_01-55-11-643, -0.26482728, 5.039355,8.563763
2020-02-10_01-55-11-663, -0.303161, 4.9584255,8.426186
2020-02-10_01-55-11-684, -0.40856847, 4.9822316,8.198472
2020-02-10_01-55-11-704, -0.27442688, 5.0298414,8.426186
2020-02-10_01-55-11-724, -0.27443278, 4.977476,8.364513
2020-02-10_01-55-11-744, -0.40379518, 5.0488896,8.188985
2020-02-10_01-55-11-764, -0.34151828, 4.9917636,8.35977
2020-02-10_01-55-11-785, -0.3367332, 5.058416,8.264889
2020-02-10_01-55-11-805, -0.30799323, 5.0488973,8.264889
2020-02-10_01-55-11-825, -0.336745, 4.987011,8.511579
2020-02-10_01-55-11-845, -0.26967722, 4.9441676,8.715571
2020-02-10_01-55-11-865, -0.33196586, 4.925127,8.720315
2020-02-10_01-55-11-885, -0.3415537, 4.958455,8.734548
2020-02-10_01-55-11-906, -0.37509647, 4.8251586,8.582738
2020-02-10_01-55-11-927, -0.4517581, 4.8156395,8.487857
2020-02-10_01-55-11-948, -0.40864512, 4.882292,8.5447855
